"Concatenated","Class_Desc","Primary_Code","Secondary_Code","Tertiary_Code","Quaternary_Code","Primary_Desc","Secondary_Desc","Tertiary_Desc","Quaternary_Desc"
"CM04","Medical / Testing / Research Laboratory","C","M","04","","Commercial","Medical","Medical / Testing / Research Laboratory",""
"CM05","Professional Medical Service","C","M","05","","Commercial","Medical","Professional Medical Service",""
"CM05ZS","Assessment / Development Services","C","M","05","ZS","Commercial","Medical","Professional Medical Service","Assessment / Development Services"
"CN","Animal Centre","C","N","","","Commercial","Animal Centre","",""
"CN01","Cattery / Kennel","C","N","01","","Commercial","Animal Centre","Cattery / Kennel",""
"CN02","Animal Services","C","N","02","","Commercial","Animal Centre","Animal Services",""
"CN02AX","Animal Quarantining","C","N","02","AX","Commercial","Animal Centre","Animal Services","Animal Quarantining"
"CN03","Equestrian","C","N","03","","Commercial","Animal Centre","Equestrian",""
"CN03HB","Horse Racing / Breeding Stable","C","N","03","HB","Commercial","Animal Centre","Equestrian","Horse Racing / Breeding Stable"
"CN03SB","Commercial Stabling / Riding","C","N","03","SB","Commercial","Animal Centre","Equestrian","Commercial Stabling / Riding"
"CN04","Vet / Animal Medical Treatment","C","N","04","","Commercial","Animal Centre","Vet / Animal Medical Treatment",""
"CN05","Animal / Bird / Marine Sanctuary","C","N","05","","Commercial","Animal Centre","Animal / Bird / Marine Sanctuary",""
